"table_name","column_name","key_type"
"departments","dept_name",""
"departments","dept_no","Primary Key"
"dept_emp","dept_no","Foreign Key"
"dept_emp","dept_no","Primary Key"
"dept_emp","emp_no","Foreign Key"
"dept_emp","emp_no","Primary Key"
"dept_manager","dept_no","Foreign Key"
"dept_manager","dept_no","Primary Key"
"dept_manager","emp_no","Foreign Key"
"dept_manager","emp_no","Primary Key"
"employees","birth_date",""
"employees","emp_no","Primary Key"
"employees","emp_title_id",""
"employees","first_name",""
"employees","hire_date",""
"employees","last_name",""
"employees","sex",""
"salaries","emp_no","Foreign Key"
"salaries","salary",""
"titles","title",""
"titles","title_id","Primary Key"
